sample,group,short_reads_1,short_reads_2,long_reads
Eliza1,0,Eliza1_R1.fastq.gz,Eliza1_R2.fastq.gz,
Eliza2,1,Eliza2_R1.fastq.gz,Eliza2_R2.fastq.gz,
Eliza3,2,Eliza3_R1.fastq.gz,Eliza3_R2.fastq.gz,
Eliza4,3,Eliza4_R1.fastq.gz,Eliza4_R2.fastq.gz,
Eliza5,4,Eliza5_R1.fastq.gz,Eliza5_R2.fastq.gz,
Eliza6,5,Eliza6_R1.fastq.gz,Eliza6_R2.fastq.gz,
Eliza7,6,Eliza7_R1.fastq.gz,Eliza7_R2.fastq.gz,
Eliza8,7,Eliza8_R1.fastq.gz,Eliza8_R2.fastq.gz,
Eliza9,8,Eliza9_R1.fastq.gz,Eliza9_R2.fastq.gz,
Eliza10,9,Eliza10_R1.fastq.gz,Eliza10_R2.fastq.gz,
Eliza11,10,Eliza11_R1.fastq.gz,Eliza11_R2.fastq.gz,
Eliza12,11,Eliza12_R1.fastq.gz,Eliza12_R2.fastq.gz,
Eliza13,12,Eliza13_R1.fastq.gz,Eliza13_R2.fastq.gz,
Eliza14,13,Eliza14_R1.fastq.gz,Eliza14_R2.fastq.gz,
Eliza15,14,Eliza15_R1.fastq.gz,Eliza15_R2.fastq.gz,
Eliza16,15,Eliza16_R1.fastq.gz,Eliza16_R2.fastq.gz,
Eliza17,16,Eliza17_R1.fastq.gz,Eliza17_R2.fastq.gz,
Eliza18,17,Eliza18_R1.fastq.gz,Eliza18_R2.fastq.gz,
Eliza19,18,Eliza19_R1.fastq.gz,Eliza19_R2.fastq.gz,
Eliza20,19,Eliza20_R1.fastq.gz,Eliza20_R2.fastq.gz,
Eliza21,20,Eliza21_R1.fastq.gz,Eliza21_R2.fastq.gz,
Eliza22,21,Eliza22_R1.fastq.gz,Eliza22_R2.fastq.gz,
Eliza23,22,Eliza23_R1.fastq.gz,Eliza23_R2.fastq.gz,
Eliza24,23,Eliza24_R1.fastq.gz,Eliza24_R2.fastq.gz,
Eliza25,24,Eliza25_R1.fastq.gz,Eliza25_R2.fastq.gz,
Eliza26,25,Eliza26_R1.fastq.gz,Eliza26_R2.fastq.gz,
Eliza27,26,Eliza27_R1.fastq.gz,Eliza27_R2.fastq.gz,
Eliza28,27,Eliza28_R1.fastq.gz,Eliza28_R2.fastq.gz,
Eliza29,28,Eliza29_R1.fastq.gz,Eliza29_R2.fastq.gz,
Eliza30,29,Eliza30_R1.fastq.gz,Eliza30_R2.fastq.gz,
Eliza31,30,Eliza31_R1.fastq.gz,Eliza31_R2.fastq.gz,
Eliza32,31,Eliza32_R1.fastq.gz,Eliza32_R2.fastq.gz,
Eliza33,32,Eliza33_R1.fastq.gz,Eliza33_R2.fastq.gz,
Eliza34,33,Eliza34_R1.fastq.gz,Eliza34_R2.fastq.gz,
Eliza35,34,Eliza35_R1.fastq.gz,Eliza35_R2.fastq.gz,
Eliza36,35,Eliza36_R1.fastq.gz,Eliza36_R2.fastq.gz,
Eliza37,36,Eliza37_R1.fastq.gz,Eliza37_R2.fastq.gz,
Eliza38,37,Eliza38_R1.fastq.gz,Eliza38_R2.fastq.gz,
Eliza39,38,Eliza39_R1.fastq.gz,Eliza39_R2.fastq.gz,
Eliza40,39,Eliza40_R1.fastq.gz,Eliza40_R2.fastq.gz,
Eliza41,40,Eliza41_R1.fastq.gz,Eliza41_R2.fastq.gz,
Eliza42,41,Eliza42_R1.fastq.gz,Eliza42_R2.fastq.gz,
Eliza43,42,Eliza43_R1.fastq.gz,Eliza43_R2.fastq.gz,
Eliza44,43,Eliza44_R1.fastq.gz,Eliza44_R2.fastq.gz,
Eliza45,44,Eliza45_R1.fastq.gz,Eliza45_R2.fastq.gz,
Eliza46,45,Eliza46_R1.fastq.gz,Eliza46_R2.fastq.gz,
Eliza47,46,Eliza47_R1.fastq.gz,Eliza47_R2.fastq.gz,
Eliza48,47,Eliza48_R1.fastq.gz,Eliza48_R2.fastq.gz,
